Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2024-07-25T04:00:00.000000+0000,173.417,174.363,168.242,168.352,28967900.0,173.537,182.723,182.474,6.121,4.359,1.881,2.389,5.066,1.015,0.239,-0.995,31250700.0,23772600.0,16303900.0,177.735,179.685,181.684,-0.030334446040547393,0
2024-07-26T04:00:00.000000+0000,167.964,169.029,165.073,167.874,25150100.0,168.352,173.537,182.723,3.956,6.121,4.359,1.881,0.09,5.066,1.015,0.239,28967900.0,31250700.0,23772600.0,173.044,176.365,179.563,-0.0028415851659653007,0
2024-07-29T04:00:00.000000+0000,169.685,171.337,168.909,170.312,13768900.0,167.874,168.352,173.537,2.428,3.956,6.121,4.359,-0.627,0.09,5.066,1.015,25150100.0,28967900.0,31250700.0,170.459,173.878,177.703,0.014420066910935678,1
2024-07-30T04:00:00.000000+0000,171.009,172.124,169.307,171.039,13681400.0,170.312,167.874,168.352,2.816,2.428,3.956,6.121,-0.03,-0.627,0.09,5.066,13768900.0,25150100.0,28967900.0,170.386,172.834,176.527,0.004256716637692025,1
2024-07-31T04:00:00.000000+0000,174.084,175.07,170.9,172.323,15650200.0,171.039,170.312,167.874,4.17,2.816,2.428,3.956,1.762,-0.03,-0.627,0.09,13681400.0,13768900.0,25150100.0,170.712,172.308,175.654,0.007477944235371406,1
2024-08-01T04:00:00.000000+0000,171.158,174.841,169.695,171.626,17177800.0,172.323,171.039,170.312,5.145,4.17,2.816,2.428,-0.468,1.762,-0.03,-0.627,15650200.0,13681400.0,13768900.0,171.517,172.312,175.124,-0.004050930284601947,0
2024-08-02T04:00:00.000000+0000,167.386,169.397,165.595,167.595,18907800.0,171.626,172.323,171.039,3.802,5.145,4.17,2.816,-0.209,-0.468,1.762,-0.03,17177800.0,15650200.0,13681400.0,171.572,172.111,174.567,-0.02376517852314943,0
2024-08-05T04:00:00.000000+0000,156.618,165.147,155.852,159.872,34907800.0,167.595,171.626,172.323,9.295,3.802,5.145,4.17,-3.254,-0.209,-0.468,1.762,18907800.0,17177800.0,15650200.0,169.584,170.789,173.458,-0.04717621289028858,0
2024-08-06T04:00:00.000000+0000,160.176,161.574,157.374,159.773,36146500.0,159.872,167.595,171.626,4.2,9.295,3.802,5.145,0.403,-3.254,-0.209,-0.468,34907800.0,18907800.0,17177800.0,164.728,167.591,171.297,-0.0006227717649273342,0
2024-08-07T04:00:00.000000+0000,162.46,164.003,159.474,159.982,19334200.0,159.773,159.872,167.595,4.528,4.2,9.295,3.802,2.478,0.403,-3.254,-0.209,36146500.0,34907800.0,18907800.0,162.251,165.301,169.463,0.0013072490514826063,1
2024-08-08T04:00:00.000000+0000,161.568,164.709,161.256,163.057,15733600.0,159.982,159.773,159.872,3.453,4.528,4.2,9.295,-1.489,2.478,0.403,-3.254,19334200.0,36146500.0,34907800.0,161.116,163.743,167.955,0.019039913230768264,1
2024-08-09T04:00:00.000000+0000,160.873,164.729,160.161,164.6,13549200.0,163.057,159.982,159.773,4.568,3.453,4.528,4.2,-3.727,-1.489,2.478,0.403,15733600.0,19334200.0,36146500.0,162.087,163.542,167.175,0.00941612238750184,1
2024-08-12T04:00:00.000000+0000,165.202,165.904,162.769,163.167,12435000.0,164.6,163.057,159.982,3.135,4.568,3.453,4.528,2.035,-3.727,-1.489,2.478,13549200.0,15733600.0,19334200.0,163.343,163.852,166.766,-0.008744822202811387,0
2024-08-13T04:00:00.000000+0000,164.396,165.744,163.983,165.137,12717600.0,163.167,164.6,163.057,1.762,3.135,4.568,3.453,-0.741,2.035,-3.727,-1.489,12435000.0,13549200.0,15733600.0,163.255,163.651,166.193,0.012004388121900645,1
2024-08-14T04:00:00.000000+0000,163.425,164.172,158.768,161.256,22515900.0,165.137,163.167,164.6,5.404,1.762,3.135,4.568,2.17,-0.741,2.035,-3.727,12717600.0,12435000.0,13549200.0,164.196,164.087,166.025,-0.02378448851283663,0
2024-08-15T04:00:00.000000+0000,161.435,162.739,160.718,162.39,18392500.0,161.256,165.137,163.167,2.02,5.404,1.762,3.135,-0.955,2.17,-0.741,2.035,22515900.0,12717600.0,12435000.0,162.726,163.257,165.266,0.007011185138805619,1
2024-08-16T04:00:00.000000+0000,162.629,166.152,162.301,163.953,16853100.0,162.39,161.256,165.137,3.852,2.02,5.404,1.762,-1.324,-0.955,2.17,-0.741,18392500.0,22515900.0,12717600.0,162.558,163.004,164.809,0.009575878106328286,1
2024-08-19T04:00:00.000000+0000,166.202,167.665,165.296,167.595,13100800.0,163.953,162.39,161.256,2.369,3.852,2.02,5.404,-1.393,-1.324,-0.955,2.17,16853100.0,18392500.0,22515900.0,163.256,163.282,164.673,0.021973559334076888,1
2024-08-20T04:00:00.000000+0000,167.934,169.596,167.854,168.153,12622500.0,167.595,163.953,162.39,1.742,2.369,3.852,2.02,-0.219,-1.393,-1.324,-0.955,13100800.0,16853100.0,18392500.0,165.425,164.545,165.138,0.0033200064380827154,1
2024-08-21T04:00:00.000000+0000,166.192,167.834,165.774,166.829,15269600.0,168.153,167.595,163.953,2.06,1.742,2.369,3.852,-0.637,-0.219,-1.393,-1.324,12622500.0,13100800.0,16853100.0,166.789,165.602,165.617,-0.007902882111860202,0
2024-08-22T04:00:00.000000+0000,168.232,168.611,164.242,164.699,19123800.0,166.829,168.153,167.595,4.369,2.06,1.742,2.369,3.533,-0.637,-0.219,-1.393,15269600.0,12622500.0,13100800.0,166.809,165.961,165.81,-0.012848402281795897,0
2024-08-23T04:00:00.000000+0000,165.754,167.148,164.869,166.63,14281600.0,164.699,166.829,168.153,2.279,4.369,2.06,1.742,-0.876,3.533,-0.637,-0.219,19123800.0,15269600.0,12622500.0,165.754,165.592,165.633,0.011654547348523097,1
2024-08-26T04:00:00.000000+0000,167.352,168.571,165.525,167.128,11990300.0,166.63,164.699,166.829,3.045,2.279,4.369,2.06,0.224,-0.876,3.533,-0.637,14281600.0,19123800.0,15269600.0,166.192,165.896,165.792,0.00298192351160911,1
2024-08-27T04:00:00.000000+0000,166.809,167.441,165.366,165.585,13718200.0,167.128,166.63,164.699,2.075,3.045,2.279,4.369,1.224,0.224,-0.876,3.533,11990300.0,14281600.0,19123800.0,166.66,166.257,166.004,-0.009272945796195963,0
2024-08-28T04:00:00.000000+0000,165.983,166.59,162.5,163.714,15208700.0,165.585,167.128,166.63,4.09,2.075,3.045,2.279,2.269,1.224,0.224,-0.876,13718200.0,11990300.0,14281600.0,166.122,166.06,165.938,-0.011363757070587888,0
